i,score,acq_name
0,0.9164999723434448,bald
1,0.8891000151634216,bald
2,0.9186000227928162,bald
3,0.9175000190734863,bald
4,0.9172000288963318,bald
5,0.925599992275238,bald
6,0.9320999979972839,bald
7,0.9359999895095825,bald
8,0.9466000199317932,bald
9,0.9422000050544739,bald
10,0.9441999793052673,bald
11,0.92330002784729,bald
12,0.9427000284194946,bald
13,0.9474999904632568,bald
14,0.9503999948501587,bald
15,0.9562000036239624,bald
16,0.9519000053405762,bald
17,0.9542999863624573,bald
18,0.9587000012397766,bald
19,0.9569000005722046,bald
0,0.9132999777793884,bald
1,0.9097999930381775,bald
2,0.9017000198364258,bald
3,0.9348999857902527,bald
4,0.8996999859809875,bald
5,0.9180999994277954,bald
6,0.9383000135421753,bald
7,0.9279999732971191,bald
8,0.9449999928474426,bald
9,0.932699978351593,bald
10,0.9510999917984009,bald
11,0.9415000081062317,bald
12,0.960099995136261,bald
13,0.9584000110626221,bald
14,0.9563999772071838,bald
15,0.9599999785423279,bald
16,0.9642999768257141,bald
17,0.9557999968528748,bald
18,0.954800009727478,bald
19,0.9564999938011169,bald
0,0.9054999947547913,bald
1,0.906499981880188,bald
2,0.9222999811172485,bald
3,0.9355000257492065,bald
4,0.9192000031471252,bald
5,0.9460999965667725,bald
6,0.9244999885559082,bald
7,0.9320999979972839,bald
8,0.9373000264167786,bald
9,0.9462000131607056,bald
10,0.9442999958992004,bald
11,0.9559999704360962,bald
12,0.9531000256538391,bald
13,0.9552000164985657,bald
14,0.9634000062942505,bald
15,0.9394000172615051,bald
16,0.9473000168800354,bald
17,0.9567000269889832,bald
18,0.9563999772071838,bald
19,0.9646999835968018,bald
